"Id","IsDeleted","Name","CurrencyIsoCode","SBQQ__Active__c","SBQQ__Product__c","SBQQ__UnitCost__c"
"a051N000041nhoBQAQ","false","COST-000310","CAD","true","01t1N00000EURMIQA5","7087.5"
"a051N000041nhocQAA","false","COST-000337","EUR","true","01t1N00000EURL2QAP","220.8"
"a051N000041nhoCQAQ","false","COST-000311","CAD","true","01t1N00000EURL1QAP","756.0"
"a051N000041nhodQAA","false","COST-000338","EUR","true","01t1N00000EURM2QAP","354.2"
"a051N000041nhoDQAQ","false","COST-000312","CAD","true","01t1N00000EURKpQAP","1728.0"
"a051N000041nhoeQAA","false","COST-000339","EUR","true","01t1N00000EURLRQA5","281.4"
"a051N000041nhoEQAQ","false","COST-000313","CAD","true","01t1N00000EURKqQAP","2457.0"
"a051N000041nhofQAA","false","COST-000340","EUR","true","01t1N00000EURL5QAP","180.0"
"a051N000041nhoFQAQ","false","COST-000314","CAD","true","01t1N00000EURLfQAP","2646.0"
"a051N000041nhogQAA","false","COST-000341","EUR","true","01t1N00000EURL6QAP","224.8"
"a051N000041nhoGQAQ","false","COST-000315","CAD","true","01t1N00000EURLrQAP","2032.1"
"a051N000041nhohQAA","false","COST-000342","EUR","true","01t1N00000EURL7QAP","87.6"
"a051N000041nhoHQAQ","false","COST-000316","CAD","true","01t1N00000EURMdQAP","945.0"
"a051N000041nhoiQAA","false","COST-000343","EUR","true","01t1N00000EURLcQAP","170.8"
"a051N000041nhoIQAQ","false","COST-000317","CAD","true","01t1N00000EURMeQAP","1620.0"
"a051N000041nhojQAA","false","COST-000344","EUR","true","01t1N00000EURLEQA5","123.6"
"a051N000041nhoJQAQ","false","COST-000318","CAD","true","01t1N00000EURKeQAP","425.4"
"a051N000041nhokQAA","false","COST-000345","EUR","true","01t1N00000EURLgQAP","153.3"
"a051N000041nhoKQAQ","false","COST-000319","CAD","true","01t1N00000EURKfQAP","161.0"
"a051N000041nholQAA","false","COST-000346","EUR","true","01t1N00000EURM3QAP","1012.8"
"a051N000041nhoLQAQ","false","COST-000320","CAD","true","01t1N00000EURKgQAP","324.0"
"a051N000041nhomQAA","false","COST-000347","EUR","true","01t1N00000EURM4QAP","495.6"
"a051N000041nhoMQAQ","false","COST-000321","CAD","true","01t1N00000EURKhQAP","81.0"
"a051N000041nhonQAA","false","COST-000348","EUR","true","01t1N00000EURL4QAP","4.0"
"a051N000041nhoNQAQ","false","COST-000322","CAD","true","01t1N00000EURKkQAP","236.6"
"a051N000041nhooQAA","false","COST-000349","EUR","true","01t1N00000EURM5QAP","151.2"
"a051N000041nhoOQAQ","false","COST-000323","CAD","true","01t1N00000EURLHQA5","425.4"
"a051N000041nhopQAA","false","COST-000350","EUR","true","01t1N00000EURL0QAP","245.0"
